AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,EulerX,EulerY,EulerZ,q0,q1,q2,q3
0.20837599,0.036844,-0.986919,-4.9437494,1.7237499,-0.30624998,0.18186,-0.08512,1.03656,-176.09245,11.49621,-9.379597,0.02562406,0.9913433,-0.077899486,0.102535285
0.207949,0.040381998,-0.992836,-4.4275,1.88125,-0.1575,0.18270001,-0.08442,1.03208,-176.00366,11.411291,-9.299622,0.026526064,0.9914488,-0.07715976,0.10184289
0.207949,0.040381998,-0.992836,-4.4275,1.88125,-0.1575,0.17612,-0.08596,1.0332,-175.96701,11.3908,-9.234451,0.026916066,0.99150115,-0.07657097,0.101675086
0.218136,0.03965,-0.99234796,-4.0599995,2.0212498,0.09624999,0.17920001,-0.08974,1.02886,-175.87778,11.802041,-9.228424,0.027393498,0.99113303,-0.07628247,0.1052887
0.226615,0.033062,-0.99930197,-3.745,1.4437499,0.39374998,0.1778,-0.08624,1.0306801,-176.19403,12.219413,-9.194802,0.024385987,0.9908574,-0.076131545,0.10867812
0.226615,0.033062,-0.99930197,-3.745,1.4437499,0.39374998,0.17976001,-0.089880005,1.0381,-176.12102,12.32927,-9.204852,0.024927845,0.99073553,-0.07610883,0.10967809
0.22204,0.025254,-0.991494,-3.5349998,-0.0175,0.32374996,0.17612,-0.082320005,1.0337601,-176.59212,12.257349,-9.139804,0.020968465,0.9909384,-0.076020464,0.10873082
0.22204,0.025254,-0.991494,-3.5349998,-0.0175,0.32374996,0.17864001,-0.0819,1.0332,-176.58589,12.233144,-9.134852,0.021044416,0.99096245,-0.07597973,0.10852484
0.21618399,0.036295,-0.988871,-4.7249994,1.0325,-0.30624998,0.1771,-0.0889,1.04398,-175.99947,11.9739065,-9.150766,0.02628783,0.9910626,-0.07565826,0.10667541
0.210023,0.042578,-0.993568,-4.6112494,1.1899999,0.02625,0.17542,-0.086940005,1.0353,-175.8593,11.595173,-9.079763,0.027838558,0.9914049,-0.07505886,0.10347662
0.210023,0.042578,-0.993568,-4.6112494,1.1899999,0.02625,0.1778,-0.08246,1.03264,-175.96317,11.499147,-8.976742,0.027101057,0.99157864,-0.07429716,0.10255385
